case_id,label,window_construction,heating_setpoint_c,cooling_setpoint_c,chiller_cop,boiler_efficiency,lighting_primary_w_m2,lighting_secondary_w_m2,infiltration_multiplier,elevator_power_w,eps_thickness_cm,eps_conductivity_w_mk,site_energy_gj,eui_mj_m2,heating_gj,cooling_gj,lighting_gj,equipment_gj,fans_gj,pumps_gj,unmet_heating_hours,unmet_cooling_hours,ashrae55_discomfort_hours,comfort_violation_hours,glass_u_factor,glass_shgc,severe_errors,warnings
case_4c50e7fb3712,"Kazan verimi=0.692738 | Chiller COP=3.44621W/W | Sogutma ayar noktasi=29.4811C | Asansor motoru gucu=1339.76W | EPS isil iletkenligi=0.022037W/mK | EPS kalinligi=5.48035cm | Isitma ayar noktasi=15.2201C | Sizdirmazlik carpani=0.906925 | Aydinlatma - ofis, salon, atolye=3.88655W/m2 | Aydinlatma - koridor, merdiven, WC=7.75043W/m2 | Cam tipi=penc_cont_6_4mm",penc_cont_6_4mm,15.220136,29.481146,3.446214,0.692738,3.886555,7.750429,0.906925,1339.75578,5.480349,0.022037,986.57,232.34,0.0,485.4,206.29,219.15,72.26,3.48,0.0,0.0,3477.33,36551.0,1.682,0.353,0,23
case_4c9499b830ea,"Kazan verimi=0.676623 | Chiller COP=4.28586W/W | Sogutma ayar noktasi=29.0331C | Asansor motoru gucu=5862.44W | EPS isil iletkenligi=0.032151W/mK | EPS kalinligi=8.46192cm | Isitma ayar noktasi=21.2942C | Sizdirmazlik carpani=1.02327 | Aydinlatma - ofis, salon, atolye=14.2416W/m2 | Aydinlatma - koridor, merdiven, WC=5.90787W/m2",penc_std_4mm,21.29421,29.033146,4.285864,0.676623,14.241585,5.907868,1.023269,5862.44009,8.461918,0.032151,1901.06,447.71,8.22,1003.22,465.96,271.02,140.77,11.87,0.0,0.17,3693.33,41648.0,2.718,0.731,0,28
case_4ce2cba52075,"Kazan verimi=0.986337 | Chiller COP=5.79024W/W | Sogutma ayar noktasi=23.1579C | Asansor motoru gucu=3962.63W | EPS isil iletkenligi=0.022083W/mK | EPS kalinligi=7.54991cm | Isitma ayar noktasi=19.3312C | Sizdirmazlik carpani=0.468144 | Aydinlatma - ofis, salon, atolye=9.43685W/m2 | Aydinlatma - koridor, merdiven, WC=6.4788W/m2 | Cam tipi=penc_snerji_4mm",penc_snerji_4mm,19.331247,23.157946,5.790237,0.986337,9.436851,6.478803,0.468144,3962.629126,7.549909,0.022083,1859.63,437.95,0.07,1005.11,341.81,249.23,247.95,15.45,0.0,2.67,1037.67,115.0,1.739,0.476,0,25
case_4dc764a29d56,"Kazan verimi=0.741086 | Chiller COP=5.61531W/W | Sogutma ayar noktasi=29.2891C | Asansor motoru gucu=6826.52W | EPS isil iletkenligi=0.048072W/mK | EPS kalinligi=17.582cm | Isitma ayar noktasi=17.1831C | Sizdirmazlik carpani=0.956787 | Aydinlatma - ofis, salon, atolye=6.62028W/m2 | Aydinlatma - koridor, merdiven, WC=4.55839W/m2 | Cam tipi=penc_renk_6mm",penc_renk_6mm,17.183099,29.289146,5.61531,0.741086,6.620283,4.558387,0.956787,6826.523266,17.582013,0.048072,1248.08,293.93,0.02,593.57,239.96,282.07,125.15,7.31,0.0,0.17,3551.83,39186.0,2.673,0.606,0,25
case_4e04a81377e6,"Kazan verimi=0.953813 | Chiller COP=7.20715W/W | Sogutma ayar noktasi=28.9691C | Asansor motoru gucu=5196.09W | EPS isil iletkenligi=0.040814W/mK | EPS kalinligi=12.4958cm | Isitma ayar noktasi=18.1831C | Sizdirmazlik carpani=0.640997 | Aydinlatma - ofis, salon, atolye=1.15283W/m2 | Aydinlatma - koridor, merdiven, WC=2.3525W/m2 | Cam tipi=penc_cont_6_4mm",penc_cont_6_4mm,18.183099,28.969146,7.207147,0.953813,1.152827,2.352505,0.640997,5196.088484,12.495806,0.040814,630.88,148.57,1.46,231.09,61.88,263.37,69.16,3.91,0.0,0.0,3563.0,36336.0,1.682,0.353,0,23
case_4ee9e2b90f6b,"Kazan verimi=0.650838 | Chiller COP=2.20423W/W | Sogutma ayar noktasi=24.9371C | Asansor motoru gucu=1325.58W | EPS isil iletkenligi=0.03365W/mK | EPS kalinligi=11.5487cm | Isitma ayar noktasi=19.109C | Sizdirmazlik carpani=0.650969 | Aydinlatma - ofis, salon, atolye=6.95164W/m2 | Aydinlatma - koridor, merdiven, WC=5.07742W/m2",penc_std_4mm,19.109025,24.937146,2.204232,0.650838,6.951644,5.077419,0.650969,1325.578087,11.54872,0.03365,3317.24,781.23,0.12,2617.36,255.73,218.98,209.98,15.07,0.0,0.0,1828.67,354.0,2.718,0.731,0,25
case_4fb6dade72a1,"Kazan verimi=0.679846 | Chiller COP=7.83688W/W | Sogutma ayar noktasi=23.2731C | Asansor motoru gucu=1963.57W | EPS isil iletkenligi=0.048119W/mK | EPS kalinligi=19.6516cm | Isitma ayar noktasi=18.6275C | Sizdirmazlik carpani=0.518005 | Aydinlatma - ofis, salon, atolye=12.1706W/m2 | Aydinlatma - koridor, merdiven, WC=3.28676W/m2 | Cam tipi=penc_lowe_argon_4mm",penc_lowe_argon_4mm,18.627543,23.273146,7.836885,0.679846,12.170579,3.286761,0.518005,1963.574306,19.651573,0.048119,1760.62,414.64,0.0,879.05,375.48,226.3,260.77,19.01,0.0,4.33,758.0,4.0,1.836,0.595,0,25
case_50ad40b1a577,"Kazan verimi=0.834557 | Chiller COP=3.32376W/W | Sogutma ayar noktasi=25.9611C | Asansor motoru gucu=6542.97W | EPS isil iletkenligi=0.056875W/mK | EPS kalinligi=27.8246cm | Isitma ayar noktasi=21.8868C | Sizdirmazlik carpani=0.461496 | Aydinlatma - ofis, salon, atolye=10.2653W/m2 | Aydinlatma - koridor, merdiven, WC=4.66219W/m2",penc_std_4mm,21.886802,25.961146,3.323765,0.834557,10.265253,4.662194,0.461496,6542.969391,27.824582,0.056875,2510.12,591.15,8.37,1677.88,341.07,278.82,188.47,15.5,0.0,0.0,3312.5,462.0,2.718,0.731,0,28
case_5288785a37f1,"Kazan verimi=0.799102 | Chiller COP=2.46662W/W | Sogutma ayar noktasi=24.3611C | Asansor motoru gucu=6216.88W | EPS isil iletkenligi=0.055424W/mK | EPS kalinligi=26.8073cm | Isitma ayar noktasi=17.8868C | Sizdirmazlik carpani=0.398338 | Aydinlatma - ofis, salon, atolye=9.18833W/m2 | Aydinlatma - koridor, merdiven, WC=4.22102W/m2 | Cam tipi=penc_cont_6_4mm",penc_cont_6_4mm,17.886802,24.361146,2.466622,0.799102,9.18833,4.221017,0.398338,6216.882434,26.80734,0.055424,2211.99,520.94,0.0,1477.46,305.9,275.08,144.93,8.62,0.0,0.0,2182.17,815.0,1.682,0.353,0,25
case_531e67325edd,"Kazan verimi=0.899019 | Chiller COP=4.77566W/W | Sogutma ayar noktasi=26.2171C | Asansor motoru gucu=7507.05W | EPS isil iletkenligi=0.027796W/mK | EPS kalinligi=7.47975cm | Isitma ayar noktasi=15.109C | Sizdirmazlik carpani=0.395014 | Aydinlatma - ofis, salon, atolye=2.64395W/m2 | Aydinlatma - koridor, merdiven, WC=3.31271W/m2 | Cam tipi=penc_renk_6mm",penc_renk_6mm,15.109025,26.217146,4.77566,0.899019,2.643952,3.312713,0.395014,7507.052567,7.479754,0.027796,1518.53,357.62,0.0,935.35,115.07,289.88,168.13,10.09,0.0,0.0,3732.0,33451.0,2.673,0.606,0,25
