Hourly,TZ_ASNSR:Zone Air Relative Humidity[%],TZ_ATOLYE:Zone Air Relative Humidity[%],TZ_KONFSALON:Zone Air Relative Humidity[%],TZ_KORIDOR:Zone Air Relative Humidity[%],TZ_MECODA:Zone Air Relative Humidity[%],TZ_MERDVN:Zone Air Relative Humidity[%],TZ_ODA:Zone Air Relative Humidity[%],TZ_WC:Zone Air Relative Humidity[%],TZ_ASNSR:Zone Air Temperature[C],TZ_ATOLYE:Zone Air Temperature[C],TZ_KONFSALON:Zone Air Temperature[C],TZ_KORIDOR:Zone Air Temperature[C],TZ_MECODA:Zone Air Temperature[C],TZ_MERDVN:Zone Air Temperature[C],TZ_ODA:Zone Air Temperature[C],TZ_WC:Zone Air Temperature[C]
2006-Jan-01 01:00:00,45.775796450366386,41.876471008789885,41.066803689226674,45.846417943456395,38.67843983704832,35.34987803939985,42.183951779382944,32.725930066103096,17.910888843039263,22.000096256938644,22.00008987108046,22.00012723255361,20.876044813478064,22.000068455294258,22.00037113738796,23.02670040280053
2006-Jan-01 02:00:00,52.93531435021918,41.542578928188284,40.70101821782753,45.43110753023557,38.72156480162591,35.28181158928857,41.86957993188616,32.51455392514439,16.483655901751213,22.000012788064097,22.000041669315255,22.00010392486098,20.838674273908747,22.000022248621907,22.00011169567993,23.090562498203088
2006-Jan-01 03:00:00,47.685180846369825,40.97064137394145,40.08857656059336,44.76483452779382,38.59467480554337,35.01938009908823,41.32359011682079,32.4346003651095,17.939115917024644,22.0000682282778,22.000123124814678,22.000300676643036,20.778130547242476,22.000062639998607,22.000389174759533,23.00112593476423
2006-Jan-01 04:00:00,47.458831638761886,40.28029611856741,39.183249152911884,44.07511449912607,37.97537972609788,34.747726993704255,40.72388847278196,32.48592572780632,17.918637150121846,22.00013952982879,22.000145276119998,22.000063763767525,20.71656304005528,22.000075791133654,22.000453248550343,22.878556356329568
2006-Jan-01 05:00:00,47.46176862170797,39.822192623981024,38.50656305422601,43.64318885316174,37.51566629733752,34.67130773212028,40.36040474083782,32.6540550281184,17.91494007807336,22.000201977317584,22.000116662734456,22.000069788685597,20.664166920160344,22.000083304888914,22.00009815345332,22.79335401202289
2006-Jan-01 06:00:00,47.52354187463545,39.33723764261311,37.80937648633731,43.18922240702085,37.031352404681265,34.57202097708011,39.969899738531474,32.83539088614382,17.88690583572991,22.00029482244871,22.00002157020357,22.000089253347266,20.604153081440135,22.000095696896523,22.00012272679319,22.69596164888631
2006-Jan-01 07:00:00,47.55097898520443,38.747806738541804,36.9916048526593,42.64011947900054,36.69610053862604,34.43235242080441,39.487104890623385,33.01426824832783,17.86503770771412,22.000322861983758,22.000062903103522,22.0001511631699,20.42045722643118,22.000131800169623,22.00019934922877,22.593345822030074
2006-Jan-01 08:00:00,47.509149938170225,37.59571133650815,35.55610057720367,41.53155654986354,36.64690702854012,34.074243104017825,38.50277648845343,33.24849619463938,17.825709645230237,22.00020207471756,22.00011851427577,22.000259506280756,19.79328436056909,22.000215323186534,22.000362605194912,22.424408334171506
2006-Jan-01 09:00:00,46.419627999997466,36.50633451180654,33.84102082952887,41.44445476420774,35.648629287959345,33.77311995742141,38.21139174835263,32.18126156038321,16.430795448308857,22.498487141355767,23.000506175870765,22.01998898820233,19.974113987022392,22.000013213050668,22.083740458661946,22.922011395720876
2006-Jan-01 10:00:00,51.78296033146156,37.12047385622916,36.241887409659974,42.40062597680188,37.16808325975526,34.19191651796829,38.5977445450284,30.879501394268974,16.868250308245162,23.363190093971095,23.416090369726106,22.476277722152066,20.01525353350653,22.000025322341497,22.832938407588728,23.741382321689496
